datetime,AAPL_buy_hold,S12_full,L1+L4
2026-07-10,65615.84133451592,57862.23900066643,61214.78665393681
2026-07-13,66029.62047597383,57862.23900066643,61214.78665393681
2026-07-14,65522.3827404741,57862.23900066643,61214.78665393681
2026-07-15,68134.90438474479,57862.23900066643,61214.78665393681
2026-07-16,69331.5502725514,57862.23900066643,61214.78665393681
2026-07-17,69432.81734180245,57862.23900066643,61214.78665393681
2026-07-20,67944.3066465286,57862.23900066643,61214.78665393681
2026-07-21,68193.82267812356,57862.23900066643,61214.78665393681
2026-07-22,67809.05617844926,57862.23900066643,61214.78665393681
2026-07-23,66928.71489574348,57862.23900066643,61214.78665393681
2026-07-24,69291.4754455441,57862.23900066643,61214.78665393681
2026-07-27,70098.6302997442,58513.11333735945,61386.933179664615
2026-07-28,70758.09219015707,59063.58298520273,61531.309549174985
2026-07-29,70364.52617340024,58735.06340007314,61354.03371228264
2026-07-30,69375.19762505844,57909.24564543977,60922.71341206557
2026-07-31,64353.53827904682,53717.538600689404,58717.7963547945
2026-08-03,63212.61573915896,53696.05158524914,58706.052795523545
2026-08-04,64457.44058097047,53696.05158524914,58706.052795523545
2026-08-05,64794.97881297333,53696.05158524914,58706.052795523545
2026-08-06,65093.01710128434,53696.05158524914,58706.052795523545
