window,strategy,month,pnl_usd
secondary_2020_to_now,S12_full,2026-05,8931.388674538859
secondary_2020_to_now,S12_full,2026-06,-2761.7244387856335
secondary_2020_to_now,S12_full,2026-07,0.0
secondary_2020_to_now,S12_full,2026-08,0.0
secondary_2020_to_now,CoreSat_SoftVol,2020-01,692.2395304279853
secondary_2020_to_now,CoreSat_SoftVol,2020-02,-935.8453190964356
secondary_2020_to_now,CoreSat_SoftVol,2020-03,-812.7581156825545
secondary_2020_to_now,CoreSat_SoftVol,2020-04,2508.0680123665297
secondary_2020_to_now,CoreSat_SoftVol,2020-05,1491.302284405996
secondary_2020_to_now,CoreSat_SoftVol,2020-06,1591.781193128103
secondary_2020_to_now,CoreSat_SoftVol,2020-07,1941.917593360471
secondary_2020_to_now,CoreSat_SoftVol,2020-08,4818.745751382441
secondary_2020_to_now,CoreSat_SoftVol,2020-09,-3169.9976079002518
secondary_2020_to_now,CoreSat_SoftVol,2020-10,-1658.3808897012423
secondary_2020_to_now,CoreSat_SoftVol,2020-11,2424.0109878144576
secondary_2020_to_now,CoreSat_SoftVol,2020-12,2516.417313719241
secondary_2020_to_now,CoreSat_SoftVol,2021-01,318.6916349456442
secondary_2020_to_now,CoreSat_SoftVol,2021-02,-138.91712418940733
secondary_2020_to_now,CoreSat_SoftVol,2021-03,144.66334162533894
secondary_2020_to_now,CoreSat_SoftVol,2021-04,1631.4724555073772
secondary_2020_to_now,CoreSat_SoftVol,2021-05,-1849.687067853134
secondary_2020_to_now,CoreSat_SoftVol,2021-06,3317.7498755836277
secondary_2020_to_now,CoreSat_SoftVol,2021-07,1869.6528506862087
secondary_2020_to_now,CoreSat_SoftVol,2021-08,2812.494980538235
secondary_2020_to_now,CoreSat_SoftVol,2021-09,-3856.54903165462
secondary_2020_to_now,CoreSat_SoftVol,2021-10,3356.5519611400814
secondary_2020_to_now,CoreSat_SoftVol,2021-11,1356.619279151244
secondary_2020_to_now,CoreSat_SoftVol,2021-12,-285.82600640060264
secondary_2020_to_now,CoreSat_SoftVol,2022-01,-3768.5420528286922
secondary_2020_to_now,CoreSat_SoftVol,2022-02,-1003.0472050406461
secondary_2020_to_now,CoreSat_SoftVol,2022-03,1160.3519373263916
secondary_2020_to_now,CoreSat_SoftVol,2022-04,-3546.302143004308
secondary_2020_to_now,CoreSat_SoftVol,2022-05,-249.0754109495174
secondary_2020_to_now,CoreSat_SoftVol,2022-06,-1961.5039257825701
secondary_2020_to_now,CoreSat_SoftVol,2022-07,3284.0816326146232
secondary_2020_to_now,CoreSat_SoftVol,2022-08,-2376.537041161493
secondary_2020_to_now,CoreSat_SoftVol,2022-09,-2467.4742142532778
secondary_2020_to_now,CoreSat_SoftVol,2022-10,976.8284518666769
secondary_2020_to_now,CoreSat_SoftVol,2022-11,1210.8080162064434
secondary_2020_to_now,CoreSat_SoftVol,2022-12,-3027.6573205266686
secondary_2020_to_now,CoreSat_SoftVol,2023-01,3129.387169502508
secondary_2020_to_now,CoreSat_SoftVol,2023-02,56.23658163762593
secondary_2020_to_now,CoreSat_SoftVol,2023-03,3079.0462042801737
secondary_2020_to_now,CoreSat_SoftVol,2023-04,439.66135848472186
secondary_2020_to_now,CoreSat_SoftVol,2023-05,4699.1479061010905
secondary_2020_to_now,CoreSat_SoftVol,2023-06,3995.435850767579
secondary_2020_to_now,CoreSat_SoftVol,2023-07,2805.6494435607165
secondary_2020_to_now,CoreSat_SoftVol,2023-08,-1934.5530632824084
secondary_2020_to_now,CoreSat_SoftVol,2023-09,-3166.0965817756805
secondary_2020_to_now,CoreSat_SoftVol,2023-10,-1157.69377483282
secondary_2020_to_now,CoreSat_SoftVol,2023-11,5020.762649522469
secondary_2020_to_now,CoreSat_SoftVol,2023-12,4213.986270622627
secondary_2020_to_now,CoreSat_SoftVol,2024-01,1428.4452470594842
secondary_2020_to_now,CoreSat_SoftVol,2024-02,4146.242997268069
secondary_2020_to_now,CoreSat_SoftVol,2024-03,804.809865720963
secondary_2020_to_now,CoreSat_SoftVol,2024-04,-3245.1521219149727
secondary_2020_to_now,CoreSat_SoftVol,2024-05,3082.908878238086
secondary_2020_to_now,CoreSat_SoftVol,2024-06,5540.684525485543
secondary_2020_to_now,CoreSat_SoftVol,2024-07,-1879.0689017270633
secondary_2020_to_now,CoreSat_SoftVol,2024-08,3.870882709030411
secondary_2020_to_now,CoreSat_SoftVol,2024-09,1007.1891516213509
secondary_2020_to_now,CoreSat_SoftVol,2024-10,-560.2366892879072
secondary_2020_to_now,CoreSat_SoftVol,2024-11,4736.756745330684
secondary_2020_to_now,CoreSat_SoftVol,2024-12,527.833057721713
secondary_2020_to_now,CoreSat_SoftVol,2025-01,627.6460869445436
secondary_2020_to_now,CoreSat_SoftVol,2025-02,-2549.2150692813593
secondary_2020_to_now,CoreSat_SoftVol,2025-03,-4245.502356150013
secondary_2020_to_now,CoreSat_SoftVol,2025-04,579.1630732247431
secondary_2020_to_now,CoreSat_SoftVol,2025-05,3934.306238005418
secondary_2020_to_now,CoreSat_SoftVol,2025-06,5488.358359099759
secondary_2020_to_now,CoreSat_SoftVol,2025-07,2419.6173830037587
secondary_2020_to_now,CoreSat_SoftVol,2025-08,941.3080005447409
secondary_2020_to_now,CoreSat_SoftVol,2025-09,5520.74471646965
secondary_2020_to_now,CoreSat_SoftVol,2025-10,4732.6679938315065
secondary_2020_to_now,CoreSat_SoftVol,2025-11,-2724.0634498021827
secondary_2020_to_now,CoreSat_SoftVol,2025-12,-1171.7474993261858
secondary_2020_to_now,CoreSat_SoftVol,2026-01,1353.0550235374685
secondary_2020_to_now,CoreSat_SoftVol,2026-02,-2046.436251758205
secondary_2020_to_now,CoreSat_SoftVol,2026-03,-3329.819463001506
secondary_2020_to_now,CoreSat_SoftVol,2026-04,9609.932472800472
secondary_2020_to_now,CoreSat_SoftVol,2026-05,11193.697901282896
secondary_2020_to_now,CoreSat_SoftVol,2026-06,-1834.2289375320834
secondary_2020_to_now,CoreSat_SoftVol,2026-07,-2967.9031368616124
secondary_2020_to_now,CoreSat_SoftVol,2026-08,2008.796966258742
