datetime,MU_buy_hold,S12_full,L1+L4
2025-11-06,134483.72412047756,87415.66565550619,90060.71450051153
2025-11-07,134292.70636651677,87415.66565550619,90060.71450051153
2025-11-10,142851.81796618228,87415.66565550619,90060.71450051153
2025-11-11,135895.68200694313,87415.66565550619,90060.71450051153
2025-11-12,138031.81543943463,87415.66565550619,90060.71450051153
2025-11-13,133530.9933065994,87415.66565550619,90060.71450051153
2025-11-14,139304.7312620461,87415.66565550619,90060.71450051153
2025-11-17,136551.6213798555,87415.66565550619,90060.71450051153
2025-11-18,128852.46976000686,87415.66565550619,90060.71450051153
2025-11-19,127393.6779202224,87415.66565550619,90060.71450051153
2025-11-20,113855.67421736915,87415.66565550619,90060.71450051153
2025-11-21,117223.29101702236,87415.66565550619,90060.71450051153
2025-11-24,126416.10875726858,87415.66565550619,90060.71450051153
2025-11-25,126819.24196493787,87415.66565550619,90060.71450051153
2025-11-26,130047.65020851734,87415.66565550619,90060.71450051153
2025-11-28,133549.57437563976,87415.66565550619,90060.71450051153
2025-12-01,135880.4760586512,87415.66565550619,90060.71450051153
2025-12-02,135335.32780316367,87415.66565550619,90060.71450051153
2025-12-03,132306.83417446012,87415.66565550619,90060.71450051153
2025-12-04,128028.91443592632,87415.66565550619,90060.71450051153
2025-12-05,133952.71711491342,87415.66565550619,90060.71450051153
2025-12-08,139380.21093354162,87415.66565550619,90060.71450051153
2025-12-09,142529.3162240698,87415.66565550619,90060.71450051153
2025-12-10,148852.74991712495,87415.66565550619,90060.71450051153
2025-12-11,145874.9254061131,87415.66565550619,90060.71450051153
2025-12-12,136010.02268797424,87415.66565550619,90060.71450051153
2025-12-15,134087.89755910457,87415.66565550619,90060.71450051153
2025-12-16,131257.24928869444,87415.66565550619,90060.71450051153
2025-12-17,127417.94174434076,87415.66565550619,90060.71450051153
2025-12-18,140974.82146038924,87415.66565550619,90060.71450051153
2025-12-19,150724.74406037916,87415.66565550619,90060.71450051153
2025-12-22,156785.39716480384,87415.66565550619,90060.71450051153
2025-12-23,156604.47803406892,87415.66565550619,90060.71450051153
2025-12-24,162474.80690193013,87415.66565550619,90060.71450051153
2025-12-26,161452.71762768677,87415.66565550619,90060.71450051153
2025-12-29,167074.62346578707,87415.66565550619,90060.71450051153
2025-12-30,166088.36621143617,87415.66565550619,90060.71450051153
2025-12-31,161998.61893857754,87415.66565550619,90060.71450051153
2026-01-02,178653.01295455048,87415.66565550619,90060.71450051153
2026-01-05,177020.43720881874,87415.66565550619,90060.71450051153
2026-01-06,194484.63064967174,87415.66565550619,90060.71450051153
2026-01-07,192282.15541178986,87415.66565550619,90060.71450051153
2026-01-08,185274.44701605957,87415.66565550619,90060.71450051153
2026-01-09,195391.6834344594,87415.66565550619,90060.71450051153
2026-01-12,195873.49096829956,87415.66565550619,90060.71450051153
