datetime,SMH_buy_hold,S12_full,L1+L4
2026-07-02,121540.36555692114,84076.37130583911,77572.96663879532
2026-07-06,124018.59033542013,84076.37130583911,77572.96663879532
2026-07-07,119341.44648717364,84076.37130583911,77572.96663879532
2026-07-08,121750.63710301486,84076.37130583911,77572.96663879532
2026-07-09,124833.01088790123,84076.37130583911,77572.96663879532
2026-07-10,125534.69585067697,84076.37130583911,77572.96663879532
2026-07-13,120258.84229457482,84076.37130583911,77572.96663879532
2026-07-14,123342.92127803837,84076.37130583911,77572.96663879532
2026-07-15,121418.62020187046,84076.37130583911,77572.96663879532
2026-07-16,116891.24821504689,84076.37130583911,77572.96663879532
2026-07-17,114413.16445427385,84076.37130583911,77572.96663879532
2026-07-20,114930.05882338756,84076.37130583911,77572.96663879532
2026-07-21,120098.5801524143,84076.37130583911,77572.96663879532
2026-07-22,120751.7616832347,84076.37130583911,77572.96663879532
2026-07-23,119375.34505490081,84076.37130583911,77572.96663879532
2026-07-24,115442.81629466588,84076.37130583911,77572.96663879532
2026-07-27,112872.65420336687,84076.37130583911,77572.96663879532
2026-07-28,108959.98674538486,84076.37130583911,77572.96663879532
2026-07-29,103707.56651482356,84076.37130583911,77572.96663879532
2026-07-30,110750.55188549958,84076.37130583911,77572.96663879532
2026-07-31,111201.89317468561,84076.37130583911,77572.96663879532
2026-08-03,112275.00544492312,84076.37130583911,77572.96663879532
2026-08-04,118423.08809014122,84076.37130583911,77572.96663879532
2026-08-05,117184.64117695717,84076.37130583911,77572.96663879532
2026-08-06,117559.98267354076,84076.37130583911,77572.96663879532
