,above_sma50,above_sma200,ret20,dd60,overlap,strong_share,breadth,raw_label,label,method
2026-03-26,0.0,0.0,-0.056959942610624315,-0.09267215450372024,0.2,0.3711340206185567,0.18556701030927836,Defense,Defense,hierarchy
2026-03-27,0.0,0.0,-0.0724159958272329,-0.11039892353965497,0.2,0.38144329896907214,0.10309278350515463,Defense,Defense,hierarchy
2026-03-30,0.0,0.0,-0.08071628386943619,-0.1171980370429001,0.2,0.3711340206185567,0.09278350515463918,Defense,Defense,hierarchy
2026-03-31,0.0,0.0,-0.0393094231974086,-0.08731201519708731,0.3,0.35051546391752575,0.17525773195876287,Defense,Defense,hierarchy
2026-04-01,0.0,0.0,-0.042044432481404326,-0.07603767611207857,0.4,0.32989690721649484,0.13402061855670103,Defense,Defense,hierarchy
2026-04-02,0.0,0.0,-0.03804763856718829,-0.07497704606617073,0.6,0.32989690721649484,0.20618556701030927,Defense,Defense,hierarchy
2026-04-06,0.0,0.0,-0.01747920395914515,-0.06941111287003343,0.6,0.3402061855670103,0.30927835051546393,PanicRebound,Defense,hierarchy
2026-04-07,0.0,0.0,-0.03027868995762839,-0.06926864017729939,0.6,0.3402061855670103,0.28865979381443296,PanicRebound,Defense,hierarchy
2026-04-08,1.0,1.0,-0.0014645949026160787,-0.041597277188538895,0.4,0.3402061855670103,0.4639175257731959,PanicRebound,Defense,hierarchy
2026-04-09,1.0,1.0,0.005422016653690465,-0.03511318663922758,0.6,0.3711340206185567,0.4742268041237113,PanicRebound,Defense,hierarchy
2026-04-10,1.0,1.0,0.024455085116988684,-0.0337217033401932,0.6,0.3402061855670103,0.5154639175257731,PanicRebound,PanicRebound,hierarchy
2026-04-13,1.0,1.0,0.04122270152542229,-0.023728035459870234,0.5,0.28865979381443296,0.5463917525773195,PanicRebound,PanicRebound,hierarchy
2026-04-14,1.0,1.0,0.048368865610688205,-0.006001266423935503,0.5,0.25773195876288657,0.4742268041237113,CrowdedTrend,PanicRebound,hierarchy
2026-04-15,1.0,1.0,0.05788203940438175,0.0,0.5,0.20618556701030927,0.5051546391752577,Rotation,PanicRebound,hierarchy
2026-04-16,1.0,1.0,0.07800368003882241,0.0,0.4,0.24742268041237114,0.6597938144329897,Rotation,PanicRebound,hierarchy
2026-04-17,1.0,1.0,0.09557012628529216,0.0,0.5,0.20618556701030927,0.6907216494845361,Rotation,Rotation,hierarchy
2026-04-20,1.0,1.0,0.11265742780235688,-0.0031737166273745343,0.6,0.1958762886597938,0.7938144329896907,Rotation,Rotation,hierarchy
2026-04-21,1.0,1.0,0.0957992893541022,-0.006966130565190021,0.6,0.1958762886597938,0.711340206185567,Rotation,Rotation,hierarchy
2026-04-22,1.0,1.0,0.12180073987979534,0.0,0.6,0.21649484536082475,0.7938144329896907,Rotation,Rotation,hierarchy
2026-04-23,1.0,1.0,0.10819639186406738,-0.0056327352690831445,0.6,0.20618556701030927,0.7319587628865979,Rotation,Rotation,hierarchy
2026-04-24,1.0,1.0,0.15700878813732322,0.0,0.8,0.18556701030927836,0.7010309278350515,Rotation,Rotation,hierarchy
2026-04-27,1.0,1.0,0.18068513651303197,0.0,0.8,0.17525773195876287,0.7422680412371134,Rotation,Rotation,hierarchy
2026-04-28,1.0,1.0,0.17781431896511513,-0.010055780038854656,0.6,0.18556701030927836,0.6701030927835051,Rotation,Rotation,hierarchy
2026-04-29,1.0,1.0,0.14621061669080482,-0.0040045275124755975,0.7,0.1958762886597938,0.6701030927835051,Rotation,Rotation,hierarchy
2026-04-30,1.0,1.0,0.14278347071189557,0.0,0.6,0.20618556701030927,0.711340206185567,Rotation,Rotation,hierarchy
2026-05-01,1.0,1.0,0.15243087464938898,0.0,0.7,0.1958762886597938,0.7010309278350515,Rotation,Rotation,hierarchy
2026-05-04,1.0,1.0,0.14338108336607958,-0.0018829595134005617,0.7,0.21649484536082475,0.6391752577319587,Rotation,Rotation,hierarchy
2026-05-05,1.0,1.0,0.1580374287983699,0.0,0.9,0.1958762886597938,0.6804123711340206,Rotation,Rotation,hierarchy
2026-05-06,1.0,1.0,0.1479659675962095,0.0,1.0,0.18556701030927836,0.6597938144329897,Rotation,Rotation,hierarchy
2026-05-07,1.0,1.0,0.13889148656563632,-0.0011927971741210186,0.9,0.18556701030927836,0.6185567010309279,Rotation,Rotation,hierarchy
2026-05-08,1.0,1.0,0.16390944924459117,0.0,0.7,0.17525773195876287,0.6185567010309279,Rotation,Rotation,hierarchy
2026-05-11,1.0,1.0,0.15533045462137052,0.0,0.8,0.18556701030927836,0.5979381443298969,Rotation,Rotation,hierarchy
2026-05-12,1.0,1.0,0.12510252281779688,-0.008481343990568546,0.7,0.15463917525773196,0.6185567010309279,Rotation,Rotation,hierarchy
2026-05-13,1.0,1.0,0.12128965178208229,0.0,0.8,0.17525773195876287,0.5360824742268041,Rotation,Rotation,hierarchy
2026-05-14,1.0,1.0,0.12384703758411297,0.0,0.9,0.18556701030927836,0.4948453608247423,Rotation,Rotation,hierarchy
2026-05-15,1.0,1.0,0.09259476406186362,-0.015087663665267592,0.7,0.17525773195876287,0.5257731958762887,Rotation,Rotation,hierarchy
2026-05-18,1.0,1.0,0.09135879667966318,-0.01932411494885944,0.7,0.17525773195876287,0.5154639175257731,Rotation,Rotation,hierarchy
2026-05-19,1.0,1.0,0.0887742941886609,-0.025368638021246226,0.7,0.15463917525773196,0.5257731958762887,Rotation,Rotation,hierarchy
2026-05-20,1.0,1.0,0.08859714940196128,-0.009223947771760277,0.8,0.16494845360824742,0.5360824742268041,Rotation,Rotation,hierarchy
2026-05-21,1.0,1.0,0.09685063692652429,-0.0073352081646959055,0.8,0.16494845360824742,0.5773195876288659,Rotation,Rotation,hierarchy
2026-05-22,1.0,1.0,0.0808278669984166,-0.0031251825457095928,0.6,0.17525773195876287,0.5567010309278351,Rotation,Rotation,hierarchy
2026-05-26,1.0,1.0,0.09943948672115543,0.0,0.8,0.1958762886597938,0.5979381443298969,Rotation,Rotation,hierarchy
