datetime,QQQ_buy_hold,S12_full,L1+L4
2026-02-03,60973.27577994524,53647.998465064695,55030.56129111862
2026-02-04,59905.89035915657,52708.847817775095,54067.20778798804
2026-02-05,59040.62526919719,51947.53493726749,53286.27510958115
2026-02-06,60283.69855792623,53041.266461983,54408.19319467207
2026-02-09,60747.80789521133,53449.61809957836,54827.068464280725
2026-02-10,60466.58939355939,53428.23825233853,54805.137636895015
2026-02-11,60631.34364075751,53428.23825233853,54805.137636895015
2026-02-12,59401.78996537937,53428.23825233853,54805.137636895015
2026-02-13,59528.4235419711,53428.23825233853,54805.137636895015
2026-02-17,59468.81635468912,53428.23825233853,54805.137636895015
2026-02-18,59912.39642657769,53428.23825233853,54805.137636895015
2026-02-19,59683.26195758935,53428.23825233853,54805.137636895015
2026-02-20,60216.18954030813,53428.23825233853,54805.137636895015
2026-02-23,59482.404833485234,53428.23825233853,54805.137636895015
2026-02-24,60120.445617565,53428.23825233853,54805.137636895015
2026-02-25,60988.87942328063,53428.23825233853,54805.137636895015
2026-02-26,60251.95962062214,53428.23825233853,54805.137636895015
2026-02-27,60063.539039829484,53428.23825233853,54805.137636895015
2026-03-02,60155.51106211609,53428.23825233853,54805.137636895015
2026-03-03,59521.746650487774,53428.23825233853,54805.137636895015
2026-03-04,60426.2615998845,53428.23825233853,54805.137636895015
2026-03-05,60245.043244192464,53428.23825233853,54805.137636895015
2026-03-06,59337.96621297523,53428.23825233853,54805.137636895015
2026-03-09,60142.89519056396,53428.23825233853,54805.137636895015
2026-03-10,60143.88811153292,53428.23825233853,54805.137636895015
2026-03-11,60136.2047689868,53428.23825233853,54805.137636895015
2026-03-12,59099.61741441476,53428.23825233853,54805.137636895015
2026-03-13,58751.77766141972,53428.23825233853,54805.137636895015
2026-03-16,59410.46968367041,53428.23825233853,54805.137636895015
2026-03-17,59700.32999671412,53428.23825233853,54805.137636895015
2026-03-18,58866.15340628971,53428.23825233853,54805.137636895015
2026-03-19,58683.2966697299,53428.23825233853,54805.137636895015
2026-03-20,57595.775780412405,53428.23825233853,54805.137636895015
2026-03-23,58260.80289018404,53428.23825233853,54805.137636895015
2026-03-24,57862.036887633214,53428.23825233853,54805.137636895015
2026-03-25,58243.66121507955,53428.23825233853,54805.137636895015
2026-03-26,56845.68391289978,53428.23825233853,54805.137636895015
2026-03-27,55730.852729864964,53428.23825233853,54805.137636895015
2026-03-30,55312.507431936916,53428.23825233853,54805.137636895015
2026-03-31,57171.45010204147,53428.23825233853,54805.137636895015
2026-04-01,57875.6274556775,53428.23825233853,54805.137636895015
2026-04-02,57961.635170557456,53428.23825233853,54805.137636895015
2026-04-06,58309.93191796582,53428.23825233853,54805.137636895015
2026-04-07,58320.27711503108,53428.23825233853,54805.137636895015
2026-04-08,60062.838866888065,53428.23825233853,54805.137636895015
2026-04-09,60469.2577842823,53428.23825233853,54805.137636895015
2026-04-10,60556.67018190909,53428.23825233853,54805.137636895015
2026-04-13,61185.02210516234,53428.23825233853,54805.137636895015
2026-04-14,62292.16794772085,53428.23825233853,54805.137636895015
2026-04-15,63163.59604020678,53428.23825233853,54805.137636895015
2026-04-16,63467.462244627925,53428.23825233853,54805.137636895015
2026-04-17,64295.31629222666,53428.23825233853,54805.137636895015
2026-04-20,64091.03355659157,53428.23825233853,54805.137636895015
2026-04-21,63848.28227623845,53204.50209376364,54747.762120847045
2026-04-22,64912.10203583138,54090.97857533554,54975.80956809734
2026-04-23,64545.96917787342,53785.88162184914,54815.26809205446
2026-04-24,65774.84257678922,54809.896599146625,55337.074687189255
2026-04-27,65809.5781726867,54838.84162348823,55351.68640033962
2026-04-28,65147.89098935581,54287.46050756984,55073.41762485264
